n,log_loss,margin_mae,accuracy,season,model
285,0.6783863995202499,11.276212580392507,0.5847117794486215,2021,bayesian_margin
285,0.6843972977712345,11.804294960381386,0.5140845070422535,2021,elo
284,0.6371370912166121,9.075611340350484,0.6666670477409914,2022,massey
284,0.6395339591034005,,0.6347253978415951,2022,bradley_terry
284,0.634335795572183,8.938978280405987,0.652456786171575,2022,bayesian_margin
284,0.6567248194566061,9.214118023844016,0.6134751773049646,2022,elo
285,0.6851654130557477,10.855939792149963,0.5719298245614035,2023,massey
285,0.6785406864148833,,0.5789473684210527,2023,bradley_terry
285,0.6611369529396482,10.588736227496852,0.5859649122807018,2023,bayesian_margin
285,0.6741950233110949,10.86742157397335,0.5684210526315789,2023,elo
285,0.5972542864751624,10.33164086124597,0.6912280701754386,2024,massey
285,0.5885949458851231,,0.7228070175438597,2024,bradley_terry
285,0.5958676097899641,10.133875276519406,0.6982456140350877,2024,bayesian_margin
285,0.6498915812841167,10.646709873971108,0.6,2024,elo
285,0.6260351351955872,10.379863900836359,0.6692982456140351,2025,massey
285,0.6194898070928322,,0.6513784461152882,2025,bradley_terry
285,0.6175781712355078,10.247729805101608,0.6621553884711779,2025,bayesian_margin
285,0.6569696823072799,10.501192878935907,0.5950704225352113,2025,elo
