season,model,home_adv,sigma,tau,alpha
2014,massey,2.2154416952298783,13.010352010929633,,
2014,bradley_terry,0.37560626042037143,,,
2014,bayesian_margin,2.2847861583200024,12.982350198871051,4.952120800469717,6.872649245940101
2015,massey,1.3608101386394222,11.618537390927164,,
2015,bradley_terry,0.20171784496924408,,,
2015,bayesian_margin,1.3262015366891868,11.609153459757204,5.480775000215436,4.486597986824502
2016,massey,2.7851454827471924,10.963013467527173,,
2016,bradley_terry,0.46554675040048626,,,
2016,bayesian_margin,2.8394803627071794,10.937969330087734,4.404553090694687,6.166939732713891
2017,massey,2.253297986393777,11.999238471515069,,
2017,bradley_terry,0.3570023075919149,,,
2017,bayesian_margin,2.32604174293109,11.972689779627467,4.908096319913513,5.950552695996555
2018,massey,1.9727249364535662,11.670600167148455,,
2018,bradley_terry,0.43133100374033895,,,
2018,bayesian_margin,2.0109010037429016,11.642579335566738,4.312575323561694,7.2882795969629495
2019,massey,0.0971266402295673,11.757334881904063,,
2019,bradley_terry,0.08502711637113684,,,
2019,bayesian_margin,0.12896473415520493,11.730924103363463,5.291622280850426,4.914584166799206
2020,massey,0.17639737033955993,11.505298398590144,,
2020,bradley_terry,0.020049674235019865,,,
2020,bayesian_margin,0.1909894759971934,11.475062534631098,4.921778495049366,5.435831589998011
2021,massey,1.391344349776999,12.571083168930823,,
2021,bradley_terry,0.08522850815856034,,,
2021,bayesian_margin,1.4201733374099161,12.542503308402418,4.888160984072513,6.583812405930647
2022,massey,2.0848289753194353,10.755146650753614,,
2022,bradley_terry,0.3424754385748243,,,
2022,bayesian_margin,2.0919905186714622,10.733211751619878,3.811628158230667,7.929363762480843
2023,massey,2.4735325210922494,12.065960852498131,,
2023,bradley_terry,0.33303530388116337,,,
2023,bayesian_margin,2.55927626604923,12.039505119066156,4.395165842566096,7.503549253043988
2024,massey,1.594734765723484,11.545130163414107,,
2024,bradley_terry,0.19953662212795412,,,
2024,bayesian_margin,1.635609104831564,11.521820135456196,5.247621733493476,4.820778066734626
2025,massey,2.1551014003759654,11.561285853056933,,
2025,bradley_terry,0.2194278506886578,,,
2025,bayesian_margin,2.12324462724698,11.542015127727211,5.385498382642729,4.593158992131037
