season,model,graph_connected,n,log_loss,margin_mae,accuracy
1984,bayesian_margin,False,14,0.6397277856537168,8.583049594587562,0.5714285714285714
1984,bayesian_margin,True,191,0.6074326534584759,11.473980873062583,0.6421052631578947
1984,bradley_terry,False,14,0.6666781013894341,,0.6428571428571429
1984,bradley_terry,True,191,0.6084030554384589,,0.6631578947368421
1984,elo,False,14,0.6509448845488636,8.148990530903456,0.6428571428571429
1984,elo,True,191,0.6393270234425871,11.845688321020083,0.6368421052631579
1984,massey,False,14,2.937814954994484,81.97959183673757,0.2857142857142857
1984,massey,True,191,0.6280826083644943,12.021943007788344,0.6578947368421053
1985,bayesian_margin,True,191,0.5990277247544835,11.04944023084907,0.6858638743455497
1985,bradley_terry,True,191,0.5881515784166708,,0.675392670157068
1985,elo,True,191,0.6250958624425145,11.513995059892196,0.680628272251309
1985,massey,True,191,0.5981723756243181,11.456696008461915,0.6596858638743456
1986,bayesian_margin,True,191,0.6488225964840278,11.544122553498726,0.6243386243386243
1986,bradley_terry,True,191,0.6290188715485306,,0.6772486772486772
1986,elo,True,191,0.6519018964322228,11.3179397074218,0.6243386243386243
1986,massey,True,191,0.6793346540733676,12.463788725549707,0.6243386243386243
1987,bayesian_margin,False,14,0.6410611725520797,10.522628365232501,0.6923076923076923
1987,bayesian_margin,True,191,0.7033455618406563,11.85652753929322,0.5549738219895288
1987,bradley_terry,False,14,0.6869515054065338,,0.6923076923076923
1987,bradley_terry,True,191,0.719604570733702,,0.5497382198952879
1987,elo,False,14,0.6685586346038436,10.308621077996035,0.6923076923076923
1987,elo,True,191,0.6812930906343228,11.772417794219814,0.5497382198952879
1987,massey,False,14,5.8171345613972605,10.776785714285717,0.5384615384615384
1987,massey,True,191,1.2969344450056892,13.22774843740364,0.581151832460733
1988,bayesian_margin,False,28,0.7114751528771761,10.649806494670349,0.4642857142857143
1988,bayesian_margin,True,191,0.6657055978846942,11.049197357846362,0.6368421052631579
1988,bradley_terry,False,28,0.7518308620760967,,0.5
1988,bradley_terry,True,191,0.6513641063463443,,0.6105263157894737
1988,elo,False,28,0.7204859880321012,10.604680664315785,0.4642857142857143
1988,elo,True,191,0.6567607434460797,10.948984926518063,0.631578947368421
1988,massey,False,28,3.1799772059844593,39.21938775510642,0.42857142857142855
1988,massey,True,191,0.676737413969272,12.108961567769187,0.631578947368421
1989,bayesian_margin,False,28,0.6971885225968072,11.804712591289308,0.4642857142857143
1989,bayesian_margin,True,191,0.6447043628343162,10.540391451715111,0.6473684210526316
1989,bradley_terry,False,28,0.6984775849340009,,0.5357142857142857
1989,bradley_terry,True,191,0.6503930119095945,,0.631578947368421
1989,elo,False,28,0.683672151669041,11.981036209878866,0.5714285714285714
1989,elo,True,191,0.6542643834060917,10.618586958196062,0.6578947368421053
1989,massey,False,28,4.272669973680634,15.005219260601455,0.4642857142857143
1989,massey,True,191,0.6983347471736295,12.379932593841511,0.6421052631578947
1990,bayesian_margin,False,28,0.7681557842569166,12.583438278536155,0.6071428571428571
1990,bayesian_margin,True,193,0.6293193788314217,11.268111185489685,0.6113989637305699
1990,bradley_terry,False,28,0.7986585818033557,,0.6071428571428571
1990,bradley_terry,True,193,0.6184336244517233,,0.6580310880829016
1990,elo,False,28,0.6738399260534991,11.55614113379363,0.6071428571428571
1990,elo,True,193,0.64390466007733,11.60492030397527,0.6476683937823834
1990,massey,False,28,5.244267467951351,23.326190476190437,0.5
1990,massey,True,193,0.6449131811535882,11.933367723276973,0.616580310880829
1991,bayesian_margin,False,28,0.7126721350335838,10.300835209731238,0.5714285714285714
1991,bayesian_margin,True,193,0.5931157633839275,9.841981673898694,0.7098445595854922
1991,bradley_terry,False,28,0.7242290371987459,,0.6428571428571429
1991,bradley_terry,True,193,0.5980008972887995,,0.6787564766839378
1991,elo,False,28,0.6665712138819335,9.741179280526012,0.6071428571428571
1991,elo,True,193,0.6307780429044436,10.432304355210743,0.6476683937823834
1991,massey,False,28,4.673675269852131,12.938392857142942,0.5357142857142857
1991,massey,True,193,0.5960960227872987,10.44773223286537,0.7098445595854922
1992,bayesian_margin,False,26,0.6533730285369498,11.08370625908462,0.6923076923076923
1992,bayesian_margin,True,194,0.6459748206564139,12.263676212861796,0.6288659793814433
1992,bradley_terry,False,26,0.6493108097105788,,0.6538461538461539
1992,bradley_terry,True,194,0.627680970794849,,0.6288659793814433
1992,elo,False,28,0.665621186706922,11.820392398990899,0.6071428571428571
1992,elo,True,194,0.6371791228232396,11.981670411307665,0.6804123711340206
1992,massey,False,26,2.106720213291043,12.491437728937747,0.6923076923076923
1992,massey,True,194,0.682126608242094,13.189705918266371,0.634020618556701
1993,bayesian_margin,False,14,0.7922451746943528,11.245997658134044,0.42857142857142855
1993,bayesian_margin,True,207,0.6683808644164942,10.979865306909712,0.5942028985507246
1993,bradley_terry,False,14,0.7965398415647552,,0.42857142857142855
1993,bradley_terry,True,207,0.68484189857893,,0.5652173913043478
1993,elo,False,14,0.7156523548035095,10.104260889573409,0.42857142857142855
1993,elo,True,207,0.6743037683755678,11.084928876757544,0.5603864734299517
1993,massey,False,14,7.456450553810447,13.35714285714286,0.6428571428571429
1993,massey,True,207,1.2764803657224342,14.509068539011336,0.5893719806763285
1994,bayesian_margin,False,28,0.7222322454649243,12.727316932455441,0.39285714285714285
1994,bayesian_margin,True,193,0.6715474608089713,9.922721924557873,0.533678756476684
1994,bradley_terry,False,28,0.726931199733202,,0.42857142857142855
1994,bradley_terry,True,193,0.662350330373569,,0.6010362694300518
1994,elo,False,28,0.7093281606574385,12.14377541108719,0.4642857142857143
1994,elo,True,193,0.6542433494871499,9.657722870545784,0.6269430051813472
1994,massey,False,28,5.148642018529834,38.60822510824813,0.35714285714285715
1994,massey,True,193,0.6984143716223776,11.105193403428997,0.5803108808290155
1995,bayesian_margin,False,15,0.6832656953136608,11.167110883343678,0.6
1995,bayesian_margin,True,221,0.6701007822148002,10.248991998208448,0.5882352941176471
1995,bradley_terry,False,15,0.6727015866745814,,0.5333333333333333
1995,bradley_terry,True,221,0.6693570722258348,,0.6063348416289592
1995,elo,False,15,0.6724892683148768,10.94070142126389,0.6
1995,elo,True,221,0.6645000432774057,10.178046684718348,0.6018099547511312
1995,massey,False,15,7.2504171039630165,13.733333333333333,0.6
1995,massey,True,221,1.2405249034367398,13.109564308753473,0.5520361990950227
1996,bayesian_margin,False,28,0.550321786661684,12.302180845342734,0.6785714285714286
1996,bayesian_margin,True,208,0.6316174172786374,10.275948519052394,0.6394230769230769
1996,bradley_terry,False,28,0.6106321344784443,,0.6428571428571429
1996,bradley_terry,True,208,0.643213673949968,,0.6490384615384616
1996,elo,False,28,0.6381467481423176,14.027294863453124,0.6428571428571429
1996,elo,True,208,0.647142993838213,10.351361783022286,0.6298076923076923
1996,massey,False,28,1.6497241296578287,25.798319327733555,0.6785714285714286
1996,massey,True,208,0.6785387613352617,11.4342371017819,0.6201923076923077
1997,bayesian_margin,False,15,0.7815864908745387,10.3417936219758,0.4
1997,bayesian_margin,True,221,0.6501181146596737,10.479349904910114,0.6118721461187214
1997,bradley_terry,False,15,0.8645862865553355,,0.3333333333333333
1997,bradley_terry,True,221,0.6406857071739582,,0.6301369863013698
1997,elo,False,15,0.7408759967826756,9.316655081800922,0.4
1997,elo,True,221,0.6466516118532982,10.394911698757685,0.639269406392694
1997,massey,False,15,11.68018863031671,14.388235294117642,0.26666666666666666
1997,massey,True,221,1.1940897524333118,14.998416638829564,0.5799086757990868
1998,bayesian_margin,False,28,0.5708533033056173,11.37042061517994,0.7142857142857143
1998,bayesian_margin,True,208,0.5718748736747853,9.460148065559805,0.6826923076923077
1998,bradley_terry,False,28,0.5813152743857604,,0.75
1998,bradley_terry,True,208,0.5824410216170304,,0.6971153846153846
1998,elo,False,28,0.630286864037009,12.307572692129343,0.6785714285714286
1998,elo,True,208,0.622954174663657,10.18057468981571,0.6826923076923077
1998,massey,False,28,3.665615694500358,16.393697478991562,0.6428571428571429
1998,massey,True,208,0.5711655713730172,10.148905259228618,0.7067307692307693
1999,bayesian_margin,False,28,0.6715634996951472,10.792536599955822,0.6071428571428571
1999,bayesian_margin,True,215,0.6342073597093412,9.985300197391295,0.6744186046511628
1999,bradley_terry,False,28,0.6771594087775029,,0.5714285714285714
1999,bradley_terry,True,215,0.6272576754007524,,0.6465116279069767
1999,elo,False,29,0.6737931216667633,10.815233292908713,0.5862068965517241
1999,elo,True,215,0.6445518114343406,10.72575402497841,0.6186046511627907
1999,massey,False,28,4.563076453297735,17.491508798641338,0.6071428571428571
1999,massey,True,215,0.6621838786892837,10.631010050771316,0.6465116279069767
2000,bayesian_margin,False,28,0.7230898710104413,11.472016120803884,0.39285714285714285
2000,bayesian_margin,True,215,0.6217187893145164,11.02203508698897,0.5906976744186047
2000,bradley_terry,False,28,0.6727624441077996,,0.5
2000,bradley_terry,True,215,0.641283481667725,,0.6372093023255814
2000,elo,False,29,0.6715065287755604,10.637254666455313,0.5862068965517241
2000,elo,True,215,0.6542504758861954,11.678198403984839,0.5627906976744186
2000,massey,False,28,3.3561717134248186,16.996962500415194,0.5714285714285714
2000,massey,True,215,0.6412929779700971,11.77541964718069,0.6
2001,bayesian_margin,False,27,0.6916305323082831,14.044827560303126,0.6666666666666666
2001,bayesian_margin,True,216,0.6569424522552855,10.060143547557638,0.6203703703703703
2001,bradley_terry,False,27,0.7010816834888794,,0.5185185185185185
2001,bradley_terry,True,216,0.6471961308618454,,0.6296296296296297
2001,elo,False,28,0.6948109324343003,14.842155157800155,0.5357142857142857
2001,elo,True,216,0.6498510316576777,9.985556457988105,0.6296296296296297
2001,massey,False,27,8.294812500532677,17.052700386834506,0.4074074074074074
2001,massey,True,216,0.684688174877237,11.184722600182399,0.6388888888888888
2002,bayesian_margin,False,30,0.6114908752679977,11.779231226731698,0.7
2002,bayesian_margin,True,221,0.6595183166928095,10.495018654388018,0.6045454545454545
2002,bradley_terry,False,30,0.7292716634965599,,0.5666666666666667
2002,bradley_terry,True,221,0.6705291429538076,,0.6045454545454545
2002,elo,False,30,0.707433957796997,13.442822372880482,0.43333333333333335
2002,elo,True,221,0.6596994722940834,10.63634194098516,0.6272727272727273
2002,massey,False,30,3.653440480134894,25.4694444444448,0.6
2002,massey,True,221,0.687861194682075,11.352613762924742,0.6045454545454545
2003,bayesian_margin,False,30,0.7360155406678501,14.571093797878655,0.4666666666666667
2003,bayesian_margin,True,221,0.6322022623830489,10.416691634744144,0.665158371040724
2003,bradley_terry,False,30,0.7071527921794859,,0.5333333333333333
2003,bradley_terry,True,221,0.6216377966665914,,0.6606334841628959
2003,elo,False,30,0.6941746888605919,13.581728277409729,0.5
2003,elo,True,221,0.6368983130919338,10.512705043371147,0.665158371040724
2003,massey,False,30,5.515222842300346,21.90224586288404,0.43333333333333335
2003,massey,True,221,0.6662061486290544,11.796891274848921,0.6334841628959276
2004,bayesian_margin,False,16,0.7142200900127803,8.698955231647219,0.625
2004,bayesian_margin,True,235,0.6361778169205574,11.003509497988242,0.6425531914893617
2004,bradley_terry,False,16,0.7015520264519051,,0.5
2004,bradley_terry,True,235,0.6343975344528408,,0.6170212765957447
2004,elo,False,16,0.673946765590118,8.283771721623266,0.625
2004,elo,True,235,0.6554478548613636,11.20799293064182,0.6085106382978723
2004,massey,False,16,8.462619454472692,11.194444444444445,0.4375
2004,massey,True,235,0.9332661464871281,12.016772591968282,0.676595744680851
2005,bayesian_margin,False,16,0.6323393446086796,11.959369907428341,0.625
2005,bayesian_margin,True,235,0.6107177248883492,10.576096837220645,0.6808510638297872
2005,bradley_terry,False,16,0.6759982332759542,,0.625
2005,bradley_terry,True,235,0.6196382773237618,,0.6638297872340425
2005,elo,False,16,0.6720289493781025,13.03004344324653,0.625
2005,elo,True,235,0.6431436263720355,10.813799180732643,0.6638297872340425
2005,massey,False,16,4.164797691153943,11.1875,0.6875
2005,massey,True,235,0.9267202070450727,11.894138163280232,0.6723404255319149
2006,bayesian_margin,False,30,0.8368324915608619,13.137640805921722,0.4
2006,bayesian_margin,True,221,0.6620955980817516,11.112362047808471,0.5927601809954751
2006,bradley_terry,False,30,0.8606822083417034,,0.3333333333333333
2006,bradley_terry,True,221,0.670187295210244,,0.5746606334841629
2006,elo,False,30,0.6771220001769169,10.337225800117087,0.5333333333333333
2006,elo,True,221,0.6667181339807887,10.94314646924152,0.5656108597285068
2006,massey,False,30,4.515317997303568,14.606337194818128,0.5333333333333333
2006,massey,True,221,0.6984033414229691,12.109984797474182,0.5882352941176471
2007,bayesian_margin,False,32,0.6136126007829067,9.460432410393508,0.65625
2007,bayesian_margin,True,219,0.6097602977255474,10.986727860187788,0.6712328767123288
2007,bradley_terry,False,32,0.6419283951915233,,0.59375
2007,bradley_terry,True,219,0.6176250063150209,,0.639269406392694
2007,elo,False,32,0.6618860755455764,10.79641870642704,0.625
2007,elo,True,219,0.6469498464182086,11.60043402385593,0.6073059360730594
2007,massey,False,32,1.7750810076799708,20.099759615384023,0.5625
2007,massey,True,219,0.6262895014542459,11.538023057574865,0.6666666666666666
2008,bayesian_margin,False,15,0.6897312872725885,10.868708460185799,0.6
2008,bayesian_margin,True,236,0.6400786732739365,11.472479115010115,0.6468085106382979
2008,bradley_terry,False,15,0.7275461156033062,,0.4
2008,bradley_terry,True,236,0.6330711052922282,,0.6042553191489362
2008,elo,False,15,0.7118733119845524,10.716608742337959,0.4
2008,elo,True,236,0.6476722369347219,11.44479526711224,0.6510638297872341
2008,massey,False,15,5.201278817062903,12.614814814814816,0.6
