season,date,week,game_type,home_franchise,away_franchise,home_score,away_score,neutral_site,overtime,source,margin,game_uid
1971,1971-09-19,,REG,NO,LAR,24,20,False,,fivethirtyeight,4,G000192
1971,1971-09-19,,REG,GB,NYG,40,42,False,,fivethirtyeight,-2,G000193
1971,1971-09-19,,REG,DEN,MIA,10,10,False,,fivethirtyeight,0,G000194
1971,1971-09-19,,REG,ARI,WSH,17,24,False,,fivethirtyeight,-7,G000195
1971,1971-09-19,,REG,IND,NYJ,22,0,False,,fivethirtyeight,22,G000196
1971,1971-09-19,,REG,CLE,TEN,31,0,False,,fivethirtyeight,31,G000197
1971,1971-09-19,,REG,NE,OAK,20,6,False,,fivethirtyeight,14,G000198
1971,1971-09-19,,REG,CIN,PHI,37,14,False,,fivethirtyeight,23,G000199
1971,1971-09-19,,REG,BUF,DAL,37,49,False,,fivethirtyeight,-12,G000200
1971,1971-09-20,,REG,DET,MIN,13,16,False,,fivethirtyeight,-3,G000201
1971,1971-09-26,,REG,BUF,MIA,14,29,False,,fivethirtyeight,-15,G000202
1971,1971-09-26,,REG,NYG,WSH,3,30,False,,fivethirtyeight,-27,G000203
1971,1971-09-26,,REG,LAC,OAK,0,34,False,,fivethirtyeight,-34,G000204
1971,1971-09-26,,REG,PHI,DAL,7,42,False,,fivethirtyeight,-35,G000205
1971,1971-09-26,,REG,PIT,CIN,21,10,False,,fivethirtyeight,11,G000206
1971,1971-09-26,,REG,IND,CLE,13,14,False,,fivethirtyeight,-1,G000207
1971,1971-09-26,,REG,GB,DEN,34,13,False,,fivethirtyeight,21,G000208
1971,1971-09-26,,REG,MIN,CHI,17,20,False,,fivethirtyeight,-3,G000209
1971,1971-09-26,,REG,LAR,ATL,20,20,False,,fivethirtyeight,0,G000210
1971,1971-09-26,,REG,NO,SF,20,38,False,,fivethirtyeight,-18,G000211
1971,1971-09-26,,REG,NE,DET,7,34,False,,fivethirtyeight,-27,G000212
1971,1971-09-26,,REG,TEN,KC,16,20,False,,fivethirtyeight,-4,G000213
1971,1971-09-27,,REG,ARI,NYJ,17,10,False,,fivethirtyeight,7,G000214
1971,1971-10-03,,REG,TEN,NO,13,13,False,,fivethirtyeight,0,G000215
1971,1971-10-03,,REG,LAR,CHI,17,3,False,,fivethirtyeight,14,G000216
1971,1971-10-03,,REG,PIT,LAC,21,17,False,,fivethirtyeight,4,G000217
1971,1971-10-03,,REG,ARI,NYG,20,21,False,,fivethirtyeight,-1,G000218
1971,1971-10-03,,REG,DAL,WSH,16,20,False,,fivethirtyeight,-4,G000219
1971,1971-10-03,,REG,PHI,SF,3,31,False,,fivethirtyeight,-28,G000220
1971,1971-10-03,,REG,DEN,KC,3,16,False,,fivethirtyeight,-13,G000221
1971,1971-10-03,,REG,NE,IND,3,23,False,,fivethirtyeight,-20,G000222
1971,1971-10-03,,REG,MIN,BUF,19,0,False,,fivethirtyeight,19,G000223
1971,1971-10-03,,REG,MIA,NYJ,10,14,False,,fivethirtyeight,-4,G000224
1971,1971-10-03,,REG,GB,CIN,20,17,False,,fivethirtyeight,3,G000225
1971,1971-10-03,,REG,DET,ATL,41,38,False,,fivethirtyeight,3,G000226
1971,1971-10-04,,REG,CLE,OAK,20,34,False,,fivethirtyeight,-14,G000227
1971,1971-10-10,,REG,NE,NYJ,20,0,False,,fivethirtyeight,20,G000228
1971,1971-10-10,,REG,WSH,TEN,22,13,False,,fivethirtyeight,9,G000229
1971,1971-10-10,,REG,KC,LAC,31,10,False,,fivethirtyeight,21,G000230
1971,1971-10-10,,REG,ATL,ARI,9,26,False,,fivethirtyeight,-17,G000231
1971,1971-10-10,,REG,BUF,IND,0,43,False,,fivethirtyeight,-43,G000232
1971,1971-10-10,,REG,CHI,NO,35,14,False,,fivethirtyeight,21,G000233
1971,1971-10-10,,REG,CIN,MIA,13,23,False,,fivethirtyeight,-10,G000234
1971,1971-10-10,,REG,CLE,PIT,27,17,False,,fivethirtyeight,10,G000235
1971,1971-10-10,,REG,PHI,MIN,0,13,False,,fivethirtyeight,-13,G000236
1971,1971-10-10,,REG,DEN,OAK,16,27,False,,fivethirtyeight,-11,G000237
1971,1971-10-10,,REG,DET,GB,31,28,False,,fivethirtyeight,3,G000238
