season,metric,n,r,ci_lo,ci_hi
2013,margin_per_game,32,0.4900810665247744,0.170528408418492,0.7163578519698268
2013,yards_per_play,32,0.4836239189211026,0.16229963003749556,0.7122126640826008
2014,explosive_rate_per_play,32,0.35378362533936697,0.005805881675871976,0.6253348963358778
2014,explosive_diff_per_game,32,0.36209164443904657,0.015333693845686412,0.6311030636218758
2014,turnovers_per_game,32,0.05285863063333822,-0.30139041256485427,0.3942853361685783
2014,turnover_diff_per_game,32,0.04087058177236872,-0.3122737024792233,0.3840907496074538
2014,margin_per_game,32,0.4918456175015828,0.1727848758107604,0.7174878394329955
2014,yards_per_play,32,0.5920755253370513,0.30670093391642345,0.7797811985710874
2015,explosive_rate_per_play,32,0.33566595958252127,-0.014755005669584764,0.6126522350323184
2015,explosive_diff_per_game,32,0.3074385030437788,-0.04620918152233929,0.5926041512530923
2015,turnovers_per_game,32,0.09875484963056806,-0.2588527727974666,0.43255373640106287
2015,turnover_diff_per_game,32,0.1742217657765588,-0.18575695398536726,0.4929678970900759
2015,margin_per_game,32,0.3974143340143865,0.05655793534057106,0.6552995285096445
2015,yards_per_play,32,0.13185675155116236,-0.2272873580974638,0.4594273307154417
2016,explosive_rate_per_play,32,0.2798993525972071,-0.07623510391111323,0.5726984068995674
2016,explosive_diff_per_game,32,0.4157548621994109,0.07843115127739762,0.6676576871908207
2016,turnovers_per_game,32,0.3893844885833917,0.0470833019895988,0.6498450782485092
2016,turnover_diff_per_game,32,0.19728966244222568,-0.16258943931249514,0.5108409831965799
2016,margin_per_game,32,0.5940206526460549,0.3094165775273881,0.7809544241546303
2016,yards_per_play,32,0.573641320855379,0.28119307048573317,0.7685965573667816
2017,explosive_rate_per_play,32,0.5340481156974797,0.22776917508439257,0.7441642897461309
2017,explosive_diff_per_game,32,0.4716687122022701,0.14718137351729862,0.7044956641650824
2017,turnovers_per_game,32,0.3637965068167658,0.017296684214383556,0.6322830635626457
2017,turnover_diff_per_game,32,0.4300205746573059,0.0956722331887908,0.6771751266755522
2017,margin_per_game,32,0.5249815672766674,0.21578958738006634,0.7384892423801344
2017,yards_per_play,32,0.46555544585970665,0.1395088344696511,0.7005282053179028
2018,explosive_rate_per_play,32,0.11592082388822271,-0.24257838081460104,0.4465642678125117
2018,explosive_diff_per_game,32,0.28869550746647665,-0.06671435546702219,0.5790941629660964
2018,turnovers_per_game,32,0.23775365633162115,-0.12096904251589559,0.541551258235841
2018,turnover_diff_per_game,32,0.26765594589598196,-0.08937984656883766,0.5637363905491116
2018,margin_per_game,32,0.643031436044103,0.37940900164012925,0.8100867872852449
2018,yards_per_play,32,0.3188620223098329,-0.03356374123389605,0.6007602996108613
2019,explosive_rate_per_play,32,0.218970396953888,-0.1404472330063321,0.5273957712085311
2019,explosive_diff_per_game,32,0.28774457374270457,-0.06774675313181974,0.5784044502795758
2019,turnovers_per_game,32,0.3392214820217648,-0.010743247587627215,0.615152460002006
2019,turnover_diff_per_game,32,0.06752413264753775,-0.28794968709242763,0.40664357490491765
2019,margin_per_game,32,0.33948991865739364,-0.010439907754698254,0.6153409982004192
2019,yards_per_play,32,0.2676024701672786,-0.0894369875661758,0.5636970934862343
2020,explosive_rate_per_play,32,0.492935588254296,0.17418038076969755,0.7181852447113631
2020,explosive_diff_per_game,32,0.536381864036512,0.23086782369495143,0.7456201667710458
2020,turnovers_per_game,32,0.07428780665274334,-0.28170332474056414,0.4123016346779703
2020,turnover_diff_per_game,32,0.15526080348606908,-0.20450474813954542,0.47807263536129596
2020,margin_per_game,32,0.5752066802201972,0.2833431595883413,0.7695509658569025
2020,yards_per_play,32,0.49306504290494113,0.17434620849564217,0.7182680447311387
2021,explosive_rate_per_play,32,0.4785179364396471,0.15582422252669234,0.7089235350177339
2021,explosive_diff_per_game,32,0.4745557054030879,0.15081836016018282,0.7063642534272732
2021,turnovers_per_game,32,-0.03385819445622738,-0.37808839689065793,0.3185971811934195
2021,turnover_diff_per_game,32,0.08405302535985414,-0.2726314404969856,0.4204248545802361
2021,margin_per_game,32,0.45144433311288146,0.12194671732185038,0.6913144113561295
2021,yards_per_play,32,0.5572273411623504,0.25882318546292754,0.7585363270526864
2022,explosive_rate_per_play,32,0.5714333036396159,0.2781652462972774,0.7672488397196265
2022,explosive_diff_per_game,32,0.47045490626238806,0.14565485634238487,0.7037090703806154
2022,turnovers_per_game,32,-0.43442398201751226,-0.6800962729531287,-0.1010348787038457
2022,turnover_diff_per_game,32,-0.32296843263501135,-0.6036779190005196,0.02899034764729264
2022,margin_per_game,32,0.4471385335823643,0.11662866463668908,0.6884873374974453
2022,yards_per_play,32,0.6991712979799147,0.4634697858261821,0.842473026844368
2023,explosive_rate_per_play,32,0.47588327844847217,0.15249376170694,0.7072224341734623
2023,explosive_diff_per_game,32,0.2785570300278104,-0.07768231298547534,0.5717192482373301
2023,turnovers_per_game,32,0.4910789577206654,0.17180407721643956,0.7169970298267856
