game_id,season,week,game_type,team,opponent,points_for,points_against,is_home,plays,pass_plays,rush_plays,dropbacks,sacks_taken,negative_plays,yards,epa_total,explosive_20_10,explosive_25_15,explosive_20_20,explosive_epa2,explosive_20_10_ng,explosive_25_15_ng,explosive_20_20_ng,explosive_epa2_ng,turnovers,turnovers_ng,turnovers_scrimmage,turnovers_scrimmage_ng,def_plays_made,drives,drive_plays_total,drive_seconds_total,franchise,opp_franchise,margin,win,explosive_20_10_diff,explosive_25_15_diff,explosive_20_20_diff,explosive_epa2_diff,explosive_20_10_ng_diff,explosive_25_15_ng_diff,explosive_20_20_ng_diff,explosive_epa2_ng_diff,turnovers_diff,turnovers_ng_diff,turnovers_scrimmage_diff,turnovers_scrimmage_ng_diff,yards_diff
1999_02_JAX_CAR,1999,2,REG,JAX,CAR,22,20,False,79,35,44,35,2,4,412.0,14.75325541212819,5,4,3,4,5,4,3,4,1.0,1.0,1.0,1.0,5,11,84.0,2289.0,JAX,CAR,2,1.0,-1,2,1,1,-1,2,1,1,0.0,0.0,0.0,0.0,145.0
1999_02_NO_SF,1999,2,REG,SF,NO,28,21,True,62,40,22,40,5,10,312.0,-2.277490990178194,7,3,2,4,7,3,2,4,1.0,1.0,1.0,1.0,9,12,71.0,1807.0,SF,NO,7,1.0,1,0,-1,-2,1,0,-1,-2,-2.0,-2.0,-1.0,-1.0,-12.0
1999_02_NO_SF,1999,2,REG,NO,SF,21,28,False,66,36,30,36,0,7,324.0,7.758399005613402,6,3,3,6,6,3,3,6,3.0,3.0,2.0,2.0,12,12,67.0,1856.0,NO,SF,-7,0.0,-1,0,1,2,-1,0,1,2,2.0,2.0,1.0,1.0,12.0
1999_02_NYJ_BUF,1999,2,REG,BUF,NYJ,17,3,True,68,24,44,26,0,1,365.0,5.780343239100581,7,2,2,5,6,2,2,4,1.0,1.0,1.0,1.0,3,12,91.0,2706.0,BUF,NYJ,14,1.0,4,0,1,5,4,0,1,4,1.0,1.0,1.0,1.0,173.0
1999_02_NYJ_BUF,1999,2,REG,NYJ,BUF,3,17,False,46,30,16,30,2,2,192.0,-9.445639849618688,3,2,1,0,2,2,1,0,0.0,0.0,0.0,0.0,2,10,49.0,1416.0,NYJ,BUF,-14,0.0,-4,0,-1,-5,-4,0,-1,-4,-1.0,-1.0,-1.0,-1.0,-173.0
1999_02_OAK_MIN,1999,2,REG,MIN,LV,17,22,True,58,43,15,43,6,10,336.0,-4.282529799551218,10,5,8,5,10,5,8,5,3.0,3.0,3.0,3.0,8,13,63.0,1603.0,MIN,OAK,-5,0.0,0,0,3,1,0,0,3,1,2.0,2.0,2.0,2.0,-50.0
1999_02_OAK_MIN,1999,2,REG,LV,MIN,22,17,False,65,34,31,34,1,8,386.0,3.110201035849091,10,5,5,4,10,5,5,4,1.0,1.0,1.0,1.0,13,12,70.0,1997.0,OAK,MIN,5,1.0,0,0,-3,-1,0,0,-3,-1,-2.0,-2.0,-2.0,-2.0,50.0
1999_02_PIT_BAL,1999,2,REG,BAL,PIT,20,23,True,59,33,26,33,2,4,250.0,-10.417338093820783,4,2,4,5,4,2,4,5,3.0,3.0,3.0,3.0,6,14,64.0,1553.0,BAL,PIT,-3,0.0,-2,1,2,4,-2,1,2,4,3.0,3.0,3.0,3.0,-20.0
1999_02_PIT_BAL,1999,2,REG,PIT,BAL,23,20,False,66,30,36,30,3,7,270.0,-2.9029944417466362,6,1,2,1,6,1,2,1,0.0,0.0,0.0,0.0,6,15,69.0,2047.0,PIT,BAL,3,1.0,2,-1,-2,-4,2,-1,-2,-4,-3.0,-3.0,-3.0,-3.0,20.0
1999_02_SD_CIN,1999,2,REG,CIN,LAC,7,34,True,52,36,16,36,3,7,179.0,-26.41349709610222,4,1,3,2,3,1,2,1,5.0,4.0,3.0,3.0,12,15,53.0,1290.0,CIN,LAC,-27,0.0,-1,-2,1,-2,0,-1,0,-2,5.0,4.0,3.0,3.0,-90.0
