season,date,week,game_type,home_franchise,away_franchise,home_score,away_score,neutral_site,overtime,source,margin,game_uid,week_index,n_weeks,phase,home_conf,away_conf,indoor,div_game,home_win,decade,phase_label,adj_margin,home_status,away_status,home_games_back,away_games_back
1970,1970-11-01,,REG,ARI,TEN,44,0,False,,fivethirtyeight,44,G000081,7,14,2,NFC,AFC,,,1.0,1970s,Middle third,27.319320425333075,alive,alive,0.0,1.5
1970,1970-11-01,,REG,NO,LAR,17,30,False,,fivethirtyeight,-13,G000082,7,14,2,NFC,NFC,,,0.0,1970s,Middle third,4.466900876532733,alive,alive,2.5,0.0
1970,1970-11-01,,REG,SF,GB,26,10,False,,fivethirtyeight,16,G000083,7,14,2,NFC,NFC,,,1.0,1970s,Middle third,7.656546104158471,alive,alive,-0.5,0.0
1970,1970-11-01,,REG,DET,MIN,17,30,False,,fivethirtyeight,-13,G000084,7,14,2,NFC,NFC,,,0.0,1970s,Middle third,-11.975826147933832,alive,alive,-1.0,-1.0
1970,1970-11-01,,REG,DEN,WSH,3,19,False,,fivethirtyeight,-16,G000085,7,14,2,AFC,NFC,,,0.0,1970s,Middle third,-10.443544885265041,alive,alive,-0.5,1.0
1970,1970-11-01,,REG,IND,MIA,35,0,False,,fivethirtyeight,35,G000086,7,14,2,AFC,AFC,,,1.0,1970s,Middle third,33.26605608493345,alive,alive,-1.5,-0.5
1970,1970-11-01,,REG,NYJ,NYG,10,22,False,,fivethirtyeight,-12,G000087,7,14,2,AFC,NFC,,,0.0,1970s,Middle third,-5.138757374902532,longshot,alive,3.0,1.0
1970,1970-11-01,,REG,NE,BUF,10,45,False,,fivethirtyeight,-35,G000088,7,14,2,AFC,AFC,,,0.0,1970s,Middle third,-31.409464764593707,longshot,alive,3.0,2.0
1970,1970-11-01,,REG,KC,OAK,17,17,False,,fivethirtyeight,0,G000089,7,14,2,AFC,AFC,,,0.5,1970s,Middle third,-0.49374706351777875,alive,alive,1.0,0.5
1970,1970-11-02,,REG,PIT,CIN,21,10,False,,fivethirtyeight,11,G000090,7,14,2,AFC,AFC,,,1.0,1970s,Middle third,18.977691674667724,alive,longshot,2.0,3.0
1970,1970-11-08,,REG,ARI,NE,31,0,False,,fivethirtyeight,31,G000091,8,14,2,NFC,AFC,,,1.0,1970s,Middle third,7.685679069249936,alive,longshot,0.0,3.0
1970,1970-11-08,,REG,BUF,CIN,14,43,False,,fivethirtyeight,-29,G000092,8,14,2,AFC,AFC,,,0.0,1970s,Middle third,-16.168414205807583,alive,longshot,1.0,3.0
1970,1970-11-08,,REG,NO,DET,19,17,False,,fivethirtyeight,2,G000093,8,14,2,NFC,NFC,,,1.0,1970s,Middle third,23.901827981595048,longshot,alive,3.5,0.0
1970,1970-11-08,,REG,LAC,DEN,24,21,False,,fivethirtyeight,3,G000094,8,14,2,AFC,AFC,,,1.0,1970s,Middle third,1.097289575294191,alive,alive,1.0,0.0
1970,1970-11-08,,REG,LAR,ATL,10,10,False,,fivethirtyeight,0,G000095,8,14,2,NFC,NFC,,,0.5,1970s,Middle third,-11.890321382580614,alive,alive,0.0,2.0
